ItemID,Depressive,SentimentSource,SentimentText,Analytic,Clout,Authentic,Tone,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,posemo,negemo,anx,anger,sad,social,family,friend,focuspast,focuspresent,focusfuture,work,leisure,home,money,relig,death
1,0,Sentiment140,                     is so sad for my APL friend.............,25.89,50,3.37,1,10,10,10,0,0,0,0,0,0,10,10,10,10,0,10,10,0,0,0,10,0,0,10,10,0,10,0,10,0,0,0,0,0,0,0
2,0,Sentiment140,                   I missed the New Moon trailer...,93.26,13.32,58.07,1,11.11,11.11,11.11,0,0,0,0,0,11.11,0,0,0,0,0,11.11,11.11,0,0,0,11.11,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0
3,1,Sentiment140,              omg its already 7:30 :O,46.37,50,4.97,25.77,11.11,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0
4,0,Sentiment140,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,18.82,6.93,92.47,1,18.52,14.81,14.81,0,0,0,0,3.7,3.7,11.11,22.22,7.41,0,0,33.33,0,0,0,0,3.7,0,0,3.7,0,0,0,7.41,14.81,3.7,0,0,0,0,0,0
5,0,Sentiment140,         i think mi bf is cheating on me!!!       T_T,65.46,22.08,94.81,1,15.38,15.38,15.38,0,0,0,0,0,0,7.69,7.69,0,0,0,15.38,0,0,0,0,7.69,0,7.69,0,7.69,0,7.69,0,15.38,0,0,0,0,0,0,0
6,0,Sentiment140,         or i just worry too much?        ,4.69,1.38,58.07,1,11.11,11.11,11.11,0,0,0,0,0,0,0,0,22.22,11.11,0,11.11,0,0,0,0,11.11,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0
7,1,Sentiment140,       Juuuuuuuuuuuuuuuuussssst Chillin!!,93.26,50,1,25.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
8,0,Sentiment140,       Sunny Again        Work Tomorrow  :-|       TV Tonight,75.9,50,98.01,99,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,22.22,11.11,11.11,0,0,0,0
9,1,Sentiment140,      handed in my uniform today . i miss you already,38.6,50,99,1,25,25,16.67,0,8.33,0,0,0,0,8.33,0,8.33,0,0,8.33,0,0,0,0,8.33,0,0,8.33,8.33,0,0,8.33,16.67,0,0,0,0,0,0,0
10,1,Sentiment140,      hmmmm.... i wonder how she my number @-),1.92,15.86,43.37,25.77,30,30,20,0,0,10,0,0,0,0,0,10,10,0,10,0,0,10,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0
11,0,Sentiment140,      I must think about positive..,38.6,10.58,7.84,99,12.5,12.5,12.5,0,0,0,0,0,0,12.5,12.5,12.5,0,0,25,12.5,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0
12,1,Sentiment140,      thanks to all the haters up in my face all day! 112-102,99,26.6,74.76,25.77,6.25,6.25,6.25,0,0,0,0,0,6.25,18.75,0,0,0,0,6.25,0,0,0,6.25,6.25,0,6.25,0,0,0,0,0,6.25,0,0,0,0,0,0,0
13,0,Sentiment140,      this weekend has sucked so far,4.69,13.32,58.07,1,11.11,0,0,0,0,0,0,11.11,0,0,11.11,11.11,11.11,0,22.22,11.11,0,0,0,11.11,0,11.11,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,0
14,0,Sentiment140,     jb isnt showing in australia any more!,78.3,2.31,43.37,25.77,0,0,0,0,0,0,0,0,0,10,10,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
15,0,Sentiment140,     ok thats it you win.,1.92,99,1,99,37.5,12.5,0,0,12.5,0,0,25,0,0,12.5,0,0,0,12.5,0,0,0,25,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0
16,0,Sentiment140,    &lt;-------- This is the way i feel right now...,38.6,20.24,99,25.77,16.67,8.33,8.33,0,0,0,0,8.33,8.33,0,8.33,8.33,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
17,0,Sentiment140,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX",7.71,50,31.94,25.77,13.64,13.64,13.64,0,0,0,0,0,0,0,18.18,9.09,0,0,13.64,4.55,0,0,4.55,4.55,0,0,4.55,13.64,0,0,0,22.73,0,0,4.55,0,0,0,0
